,char_count,word_count,sentence_count,avg_word_len,unique_ratio,n_paragraphs,link_count,quote_lines,exclam,question,digits,mentions,caps_ratio,sent_compound,sent_pos,sent_neg
char_count,1.0,0.992,0.919,-0.015,-0.689,0.737,0.28,0.543,0.054,0.304,0.38,0.117,-0.107,-0.077,-0.063,0.013
word_count,0.992,1.0,0.906,-0.062,-0.703,0.721,0.183,0.536,0.054,0.312,0.309,0.083,-0.113,-0.078,-0.058,0.017
sentence_count,0.919,0.906,1.0,0.017,-0.614,0.748,0.353,0.504,0.107,0.394,0.401,0.127,-0.067,-0.079,-0.049,0.017
avg_word_len,-0.015,-0.062,0.017,1.0,0.109,-0.006,0.321,-0.014,0.004,-0.007,0.228,0.125,0.043,0.005,-0.042,-0.059
unique_ratio,-0.689,-0.703,-0.614,0.109,1.0,-0.565,-0.131,-0.355,-0.034,-0.209,-0.232,-0.056,0.16,0.084,0.092,-0.011
n_paragraphs,0.737,0.721,0.748,-0.006,-0.565,1.0,0.324,0.42,0.095,0.363,0.357,0.114,-0.056,-0.079,-0.044,0.02
link_count,0.28,0.183,0.353,0.321,-0.131,0.324,1.0,0.171,0.022,0.033,0.68,0.287,0.023,-0.018,-0.06,-0.049
quote_lines,0.543,0.536,0.504,-0.014,-0.355,0.42,0.171,1.0,0.035,0.216,0.265,0.091,-0.028,-0.025,-0.03,-0.008
exclam,0.054,0.054,0.107,0.004,-0.034,0.095,0.022,0.035,1.0,0.061,0.063,0.006,0.075,0.002,0.039,0.005
question,0.304,0.312,0.394,-0.007,-0.209,0.363,0.033,0.216,0.061,1.0,0.086,0.037,0.006,-0.057,-0.051,0.011
digits,0.38,0.309,0.401,0.228,-0.232,0.357,0.68,0.265,0.063,0.086,1.0,0.2,0.036,-0.018,-0.07,-0.054
mentions,0.117,0.083,0.127,0.125,-0.056,0.114,0.287,0.091,0.006,0.037,0.2,1.0,-0.018,0.001,-0.023,-0.022
caps_ratio,-0.107,-0.113,-0.067,0.043,0.16,-0.056,0.023,-0.028,0.075,0.006,0.036,-0.018,1.0,0.043,0.11,-0.045
sent_compound,-0.077,-0.078,-0.079,0.005,0.084,-0.079,-0.018,-0.025,0.002,-0.057,-0.018,0.001,0.043,1.0,0.509,-0.601
sent_pos,-0.063,-0.058,-0.049,-0.042,0.092,-0.044,-0.06,-0.03,0.039,-0.051,-0.07,-0.023,0.11,0.509,1.0,-0.171
sent_neg,0.013,0.017,0.017,-0.059,-0.011,0.02,-0.049,-0.008,0.005,0.011,-0.054,-0.022,-0.045,-0.601,-0.171,1.0
