,count,mean,std,min,25%,50%,75%,max
char_count,17535.0,266.989,421.285,1.0,76.0,155.0,309.0,9763.0
word_count,17535.0,43.559,68.957,1.0,12.0,25.0,50.0,1660.0
sentence_count,17535.0,3.208,4.31,1.0,1.0,2.0,4.0,127.0
avg_word_len,17535.0,5.605,4.974,1.0,4.44,4.81,5.35,190.0
unique_ratio,17535.0,0.899,0.104,0.365,0.836,0.92,1.0,1.0
n_paragraphs,17535.0,1.876,1.778,1.0,1.0,1.0,2.0,39.0
link_count,17535.0,0.165,0.503,0.0,0.0,0.0,0.0,27.0
quote_lines,17535.0,0.318,1.366,0.0,0.0,0.0,0.0,51.0
exclam,17535.0,0.066,0.387,0.0,0.0,0.0,0.0,12.0
question,17535.0,0.331,0.802,0.0,0.0,0.0,0.0,18.0
digits,17535.0,3.369,9.001,0.0,0.0,0.0,2.0,291.0
mentions,17535.0,0.025,0.194,0.0,0.0,0.0,0.0,5.0
caps_ratio,17535.0,0.05,0.061,0.0,0.025,0.038,0.057,1.0
sent_compound,17535.0,-0.02,0.517,-1.0,-0.44,0.0,0.402,0.999
sent_pos,17535.0,0.103,0.134,0.0,0.0,0.071,0.145,1.0
sent_neg,17535.0,0.093,0.115,0.0,0.0,0.065,0.149,1.0
