event_id,datetime,date,direction,event_type,intensity,x_km,y_km
E00011,2026-08-24 00:10:00,2026-08-24,Напрямок В,Авіаудар (КАБ),2.0,40.07,13.22
E00019,2026-08-24 01:23:00,2026-08-24,Напрямок В,Дії ДРГ,1.0,38.66,19.18
E00001,2026-08-24 02:51:00,2026-08-24,Напрямок А,Дії ДРГ,1.0,9.57,30.86
E00014,2026-08-24 03:29:00,2026-08-24,Напрямок В,Удар БпЛА,2.0,37.61,17.53
E00007,2026-08-24 04:28:00,2026-08-24,Напрямок Б,Артобстріл,2.0,18.08,24.18
E00013,2026-08-24 06:44:00,2026-08-24,Напрямок В,Авіаудар (КАБ),3.0,42.88,16.97
E00023,2026-08-24 07:26:00,2026-08-24,Напрямок Г,Артобстріл,1.0,49.29,13.87
E00018,2026-08-24 08:55:00,2026-08-24,Напрямок В,Авіаудар (КАБ),3.0,35.12,18.39
E00016,2026-08-24 09:51:00,2026-08-24,Напрямок В,Дії ДРГ,3.0,36.91,20.53
E00002,2026-08-24 11:13:00,2026-08-24,Напрямок А,Артобстріл,1.0,7.91,31.67
E00008,2026-08-24 12:14:00,2026-08-24,Напрямок Б,Штурмові дії,1.0,24.75,24.29
E00020,2026-08-24 14:10:00,2026-08-24,Напрямок Г,Дії ДРГ,1.0,52.83,9.94
E00010,2026-08-24 14:21:00,2026-08-24,Напрямок Б,Удар БпЛА,2.0,24.19,23.84
E00004,2026-08-24 14:55:00,2026-08-24,Напрямок А,Артобстріл,1.0,8.87,30.38
E00022,2026-08-24 15:04:00,2026-08-24,Напрямок Г,Штурмові дії,2.0,53.16,6.89
E00009,2026-08-24 15:26:00,2026-08-24,Напрямок Б,Авіаудар (КАБ),5.0,18.16,24.18
E00012,2026-08-24 16:07:00,2026-08-24,Напрямок В,Удар БпЛА,2.0,42.02,19.65
E00003,2026-08-24 16:48:00,2026-08-24,Напрямок А,Авіаудар (КАБ),2.0,3.87,25.58
E00017,2026-08-24 17:17:00,2026-08-24,Напрямок В,Штурмові дії,3.0,39.11,13.95
E00005,2026-08-24 19:24:00,2026-08-24,Напрямок А,Удар БпЛА,1.0,7.84,30.27
E00021,2026-08-24 20:47:00,2026-08-24,Напрямок Г,Дії ДРГ,2.0,50.11,11.72
E00006,2026-08-24 22:00:00,2026-08-24,Напрямок А,Удар БпЛА,1.0,4.87,28.06
E00024,2026-08-24 22:45:00,2026-08-24,Напрямок Г,Артобстріл,1.0,56.0,15.46
E00015,2026-08-24 23:35:00,2026-08-24,Напрямок В,Удар БпЛА,2.0,41.73,19.57
E00034,2026-08-25 00:29:00,2026-08-25,Напрямок Б,Удар БпЛА,3.0,24.66,26.21
E00028,2026-08-25 01:13:00,2026-08-25,Напрямок А,Дії ДРГ,2.0,12.5,26.51
E00038,2026-08-25 02:42:00,2026-08-25,Напрямок Б,Удар БпЛА,1.0,22.83,24.11
E00029,2026-08-25 03:00:00,2026-08-25,Напрямок А,Удар БпЛА,1.0,10.35,29.94
E00037,2026-08-25 03:40:00,2026-08-25,Напрямок Б,Удар БпЛА,3.0,21.96,26.02
E00041,2026-08-25 03:52:00,2026-08-25,Напрямок В,Авіаудар (КАБ),3.0,33.36,16.9
E00027,2026-08-25 04:03:00,2026-08-25,Напрямок А,Артобстріл,1.0,13.29,28.39
E00052,2026-08-25 04:25:00,2026-08-25,Напрямок Г,Штурмові дії,4.0,55.09,14.2
E00036,2026-08-25 04:35:00,2026-08-25,Напрямок Б,Дії ДРГ,4.0,26.75,21.25
E00040,2026-08-25 04:44:00,2026-08-25,Напрямок В,Артобстріл,2.0,44.48,14.66
E00035,2026-08-25 05:41:00,2026-08-25,Напрямок Б,Штурмові дії,4.0,24.76,25.19
E00042,2026-08-25 06:03:00,2026-08-25,Напрямок В,Артобстріл,2.0,38.26,17.3
E00046,2026-08-25 07:11:00,2026-08-25,Напрямок В,Артобстріл,2.0,38.12,19.93
E00043,2026-08-25 07:20:00,2026-08-25,Напрямок В,Дії ДРГ,2.0,35.79,13.27
E00048,2026-08-25 07:21:00,2026-08-25,Напрямок В,Артобстріл,1.0,37.56,17.98
E00053,2026-08-25 07:29:00,2026-08-25,Напрямок Г,Дії ДРГ,2.0,51.19,11.51
