direction,unit_type,units
Напрямок А,Мотострілецькі,14
Напрямок А,Танкові,3
Напрямок А,Артилерійські,6
Напрямок А,Підрозділи БпЛА,5
Напрямок А,РЕБ,2
Напрямок А,Логістичні,3
Напрямок Б,Мотострілецькі,22
Напрямок Б,Танкові,7
Напрямок Б,Артилерійські,9
Напрямок Б,Підрозділи БпЛА,8
Напрямок Б,РЕБ,3
Напрямок Б,Логістичні,5
Напрямок В,Мотострілецькі,16
Напрямок В,Танкові,4
Напрямок В,Артилерійські,8
Напрямок В,Підрозділи БпЛА,7
Напрямок В,РЕБ,2
Напрямок В,Логістичні,4
Напрямок Г,Мотострілецькі,10
Напрямок Г,Танкові,2
Напрямок Г,Артилерійські,5
Напрямок Г,Підрозділи БпЛА,3
Напрямок Г,РЕБ,1
Напрямок Г,Логістичні,3
